map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	is_landmark
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_Y08.1650	Y08.1650		44.95	44.95	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_AA03.1100	AA03.1100		48.11	48.11	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_AD08.450	AD08.450		53.38	53.38	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_W02.750	W02.750		61.81	61.81	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_Bng228	Bng228		62.51	62.51	RFLP	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_G18.400	G18.400		65.67	65.67	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_Bng102	Bng102		65.67	65.67	RFLP	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_P07.350	P07.350		72.34	72.34	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_P07.550	P07.550		74.45	74.45	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_AI07.600	AI07.600		77.61	77.61	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_D1096-2	D1096-2		86.74	86.74	RFLP	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_W13.550	W13.550		92.36	92.36	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_AM13.1500	AM13.1500		93.76	93.76	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_O19.750	O19.750		100.08	100.08	marker	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_D1831	D1831		103.24	103.24	RFLP	0
BAT93_x_JALOEEP558_b_B09	B09	0.00	105.00	BAT93_x_JALOEEP558_b_B09_D1338-2	D1338-2		105.00	105.00	RFLP	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_D1476	D1476		0.00	0.00	RFLP	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_I07.700	I07.700		3.17	3.17	marker	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_AM14.1000	AM14.1000		4.92	4.92	marker	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_Bng200	Bng200		7.39	7.39	RFLP	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_AJ14.250	AJ14.250		16.18	16.18	marker	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_AG18.550	AG18.550		17.94	17.94	marker	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_K19.450b	K19.450b	K19.450	19.35	19.35	marker	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_U01.700	U01.700		22.16	22.16	marker	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_X11.700	X11.700		28.85	28.85	marker	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_Bng068	Bng068		38.34	38.34	RFLP	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_D1580	D1580		42.57	42.57	RFLP	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_L04.500	L04.500		56.28	56.28	marker	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_AN11.300	AN11.300		58.75	58.75	marker	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_AN03.350	AN03.350		71.41	71.41	marker	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_ROF1.1180	ROF1.1180		83.72	83.72	RAPD	0
BAT93_x_JALOEEP558_b_B10	B10	0.00	89.00	BAT93_x_JALOEEP558_b_B10_Bng218	Bng218		89.00	89.00	RFLP	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_Bng112	Bng112		0.00	0.00	RFLP	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_D1228	D1228		16.43	16.43	RFLP	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_AL15.1300	AL15.1300		23.43	23.43	marker	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_Q11.1000	Q11.1000		26.92	26.92	marker	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_AE07.800	AE07.800		29.37	29.37	marker	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_U10.1000	U10.1000		31.12	31.12	marker	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_AD12.450	AD12.450		36.01	36.01	marker	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_D1308	D1308		38.81	38.81	RFLP	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_AD17.950	AD17.950		44.76	44.76	marker	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_AJ16.250	AJ16.250		55.94	55.94	marker	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_G03.850	G03.850		60.14	60.14	marker	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_D1291	D1291		69.23	69.23	RFLP	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_Bng145	Bng145		70.98	70.98	RFLP	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_P2027	P2027		72.72	72.72	RFLP	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_W02.950	W02.950		75.17	75.17	marker	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_K10.700	K10.700		79.02	79.02	marker	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_H20sT	H20sT		88.46	88.46	SCAR	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_D1512	D1512		94.06	94.06	RFLP	0
BAT93_x_JALOEEP558_b_B11	B11	0.00	100.00	BAT93_x_JALOEEP558_b_B11_G08.1200	G08.1200		100.00	100.00	marker	0
